amount,hour_of_day,location_mismatch,device_trust_score,behavior_anomaly_score,processing_latency_ms,is_fraud
24.46,4,0,1.0,0.39,16.29,0
151.51,9,0,0.91,0.33,11.85,0
66.84,9,0,0.59,0.21,17.16,0
46.65,20,0,0.53,0.51,11.41,0
9.48,8,0,0.72,0.43,4.84,0
1292.4,20,0,0.03,0.61,8.39,1
3.99,12,0,0.63,0.3,15.11,0
101.56,9,0,0.82,0.09,9.34,0
46.95,5,0,0.1,0.75,14.66,1
62.56,10,0,0.95,0.6,9.63,0
2.04,3,0,0.84,0.13,11.09,0
176.18,13,0,0.58,0.42,19.27,0
90.32,16,0,0.57,0.14,16.24,0
12.93,19,0,0.28,0.99,14.95,1
11.03,1,0,0.87,0.19,19.39,0
2259.92,9,0,0.84,0.21,17.4,0
19.14,2,0,0.74,0.36,22.23,0
38.2,6,0,0.37,0.35,12.7,0
29.28,6,0,0.48,0.35,12.85,0
18.21,0,0,0.62,0.34,8.49,0
48.32,7,0,0.49,0.19,12.86,0
8.51,22,0,0.6,0.26,19.82,0
18.28,0,0,0.46,0.36,21.5,0
23.81,7,0,0.54,0.4,19.8,0
31.45,13,1,0.76,0.15,6.03,0
77.9,13,0,0.92,0.42,20.42,0
12.14,1,1,0.03,0.6,5.81,1
37.1,7,0,0.78,0.45,19.49,0
45.88,18,0,0.39,0.05,13.16,0
3.38,9,0,0.68,0.28,18.51,0
47.77,6,0,0.95,0.26,8.34,0
10.35,12,1,0.32,0.2,20.86,0
4.36,21,0,0.49,0.29,7.68,0
149.68,20,0,0.39,0.26,11.66,0
169.53,14,0,0.67,0.0,10.01,0
83.62,10,1,0.78,0.14,6.23,0
19.16,13,0,0.34,0.13,15.47,0
6.14,10,0,0.35,0.21,24.03,0
58.64,1,0,0.91,0.1,28.33,0
30.0,1,0,0.62,0.04,15.49,0
7.51,11,0,0.62,0.12,20.58,0
35.18,14,0,0.96,0.51,16.16,0
2.75,16,0,0.52,0.48,17.49,0
121.02,13,0,0.93,0.27,13.29,0
15.97,15,1,0.27,0.78,15.98,1
55.31,7,0,0.47,0.14,17.69,0
19.68,23,0,0.66,0.35,12.11,0
37.71,16,0,0.67,0.09,14.61,0
40.56,4,0,0.91,0.5,14.71,0
2864.44,11,0,0.03,0.66,19.13,1
175.64,5,1,0.14,0.79,9.67,1
75.61,17,0,0.98,0.16,14.74,0
141.25,4,0,0.06,0.96,24.56,1
113.61,5,0,0.94,0.08,20.82,0
46.55,8,0,0.8,0.2,21.75,0
128.47,14,0,0.93,0.19,15.12,0
5.63,9,0,0.42,0.48,16.6,0
11.91,16,0,0.8,0.25,20.01,0
3.31,18,0,0.81,0.37,22.8,0
20.68,11,1,0.61,0.24,5.24,0
25.61,8,0,0.36,0.33,8.42,0
16.83,14,0,0.74,0.04,21.55,0
89.23,13,0,0.34,0.22,13.62,0
23.06,0,0,0.57,0.51,11.64,0
17.49,16,0,0.58,0.41,8.73,0
40.12,0,0,1.0,0.59,12.22,0
8.59,22,0,0.51,0.47,7.99,0
82.02,20,1,0.87,0.27,25.46,0
4.87,21,0,0.34,0.41,14.89,0
217.71,12,0,0.67,0.47,14.71,0
74.97,7,0,0.68,0.16,17.94,0
12.08,12,0,0.74,0.04,19.81,0
1.28,15,0,0.87,0.24,19.73,0
85.49,1,0,0.83,0.09,20.37,0
62.35,12,0,0.83,0.17,11.85,0
66.28,17,1,0.01,0.85,13.51,1
74.76,2,0,0.28,0.91,18.85,1
2731.19,12,0,0.4,0.82,12.36,1
23.19,18,0,0.35,0.24,14.97,0
7.16,12,0,0.92,0.16,16.99,0
100.43,18,0,0.92,0.34,18.93,0
49.82,3,0,0.53,0.32,6.11,0
21.09,18,0,0.94,0.47,18.57,0
4.28,17,0,0.83,0.56,13.83,0
19.62,5,1,0.01,0.95,18.54,1
20.67,18,0,0.53,0.12,18.88,0
66.39,3,0,0.98,0.24,23.04,0
51.74,3,0,0.8,0.26,21.77,0
110.11,23,0,0.57,0.02,21.73,0
32.95,6,0,0.75,0.52,22.22,0
7.37,6,0,0.7,0.6,16.46,0
63.46,22,0,0.67,0.55,15.16,0
72.52,15,0,0.75,0.52,19.36,0
42.19,15,0,0.68,0.6,18.66,0
74.69,4,0,0.76,0.54,13.45,0
35.04,14,0,0.94,0.41,17.02,0
37.98,22,0,1.0,0.1,14.82,0
28.89,3,0,0.8,0.09,10.73,0
2.29,23,0,0.95,0.03,21.45,0
6.71,12,1,0.9,0.25,15.28,0
2.6,18,0,0.51,0.49,25.24,0
51.59,6,0,0.95,0.29,6.87,0
19.87,11,1,0.04,0.71,12.22,1
36.52,8,0,0.53,0.07,15.16,0
120.06,16,0,0.75,0.03,20.69,0
15.34,1,0,0.67,0.24,17.0,0
27.41,15,1,0.68,0.06,16.55,0
71.44,6,0,0.86,0.06,9.36,0
13.99,17,0,0.44,0.24,9.22,0
5.01,6,0,0.99,0.3,16.61,0
18.11,0,0,0.61,0.11,8.18,0
9.79,2,0,0.96,0.41,12.34,0
133.75,20,0,0.57,0.25,17.5,0
83.54,10,0,0.72,0.06,10.09,0
51.17,21,1,0.62,0.38,23.03,0
103.58,14,0,0.77,0.21,21.12,0
82.4,2,0,0.43,0.03,7.14,0
11.32,23,0,0.58,0.57,10.34,0
112.54,12,0,0.35,0.34,3.57,0
39.75,3,0,0.72,0.29,11.09,0
83.37,22,0,0.97,0.52,18.83,0
114.21,21,0,0.33,0.56,12.93,0
20.14,7,0,0.76,0.13,17.3,0
6.83,21,0,0.84,0.49,7.39,0
13.93,3,0,0.45,0.5,18.99,0
28.85,17,0,0.49,0.03,12.22,0
86.19,6,1,0.17,0.79,15.06,1
99.57,10,0,0.51,0.04,14.54,0
1.35,3,0,0.21,0.94,8.64,1
36.74,12,0,0.56,0.4,9.23,0
28.01,8,0,0.56,0.22,19.84,0
13.56,8,0,0.87,0.53,16.99,0
7.38,22,0,0.86,0.48,20.25,0
21.6,20,0,0.86,0.56,16.62,0
144.16,18,0,0.7,0.19,15.71,0
20.52,2,0,0.53,0.01,6.37,0
37.57,11,0,0.59,0.49,13.65,0
61.7,10,0,0.52,0.13,14.86,0
23.6,19,0,0.71,0.28,24.77,0
179.39,10,0,0.96,0.49,18.43,0
165.1,16,0,0.5,0.13,22.68,0
15.5,20,0,0.62,0.19,17.99,0
35.38,13,0,0.76,0.26,11.44,0
18.9,15,0,0.89,0.16,15.59,0
17.76,23,0,0.48,0.28,16.18,0
2.88,9,0,0.5,0.01,10.3,0
48.02,3,0,0.92,0.13,13.08,0
35.93,9,0,0.36,0.5,13.97,0
3.64,19,0,0.72,0.25,23.03,0
2248.39,11,0,0.01,0.67,4.6,1
120.44,8,0,0.95,0.14,21.03,0
